product_id,sku_id,name,department_name,category_name,sub_category_name,brand_id,brand_name,link,image_url,stock,list_price,price,product_reference,sku_reference,specification_number,size,color,gender
2775979,2775980,Jean Mujer Gray XYZ  ECRU 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-gray-XYZ-2775979/p,https://oechsle.vteximg.com.br/arquivos/ids/20586273/2775980.jpg?v=638767295860900000,0,119.00,79.95,2775979,2775980,12,26,Crema,Mujer
2858305,2858306,Jean Mujer XYZ Ankle Azul Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-ankle-2858305/p,https://oechsle.vteximg.com.br/arquivos/ids/21325752/2858306.jpg?v=638852736611470000,1,119.00,79.95,2858305,2858306,11,26,Azul,Mujer
2858277,2858278,Jean Mujer XYZ Brown 1 Marrón Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-brown-1-2858277/p,https://oechsle.vteximg.com.br/arquivos/ids/21455379/2858278.jpg?v=638865490923100000,1,119.00,79.95,2858277,2858278,11,26,Marrón,Mujer
2846486,2846487,Jean Mujer XYZ Black Negro Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-black-2846486/p,https://oechsle.vteximg.com.br/arquivos/ids/21029156/2846487.jpg?v=638810228753400000,1,119.00,79.95,2846486,2846487,11,26,Negro,Mujer
2846480,2846481,Jean Mujer XYZ Anahi Azul Oscuro Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-anahi-2846480/p,https://oechsle.vteximg.com.br/arquivos/ids/20945985/2846481.jpg?v=638797966750330000,0,119.00,79.95,2846480,2846481,10,26,Azul Oscuro,Mujer
2846462,2846463,Jean Mujer XYZ Jerel Botones Celeste Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-jerel-botones-2846462/p,https://oechsle.vteximg.com.br/arquivos/ids/20945921/2846463.jpg?v=638797964474330000,0,119.00,79.95,2846462,2846463,10,26,Celeste,Mujer
2845730,2845731,Jean Mujer XYZ Jerel Bota Azul Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-jerel-bota-2845730/p,https://oechsle.vteximg.com.br/arquivos/ids/20945905/2845731.jpg?v=638797924656570000,0,129.00,79.95,2845730,2845731,11,26,Azul,Mujer
2846456,2846457,Jean Mujer XYZ Jerel Cropette Azul Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-jerel-cropette-2846456/p,https://oechsle.vteximg.com.br/arquivos/ids/20945945/2846457.jpg?v=638797963613970000,0,129.00,79.95,2846456,2846457,11,26,Azul,Mujer
2846468,2846469,Jean Mujer XYZ Jerel Ecru Beige Talla 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-jerel-ecru-2846468/p,https://oechsle.vteximg.com.br/arquivos/ids/20945977/2846469.jpg?v=638797965103830000,0,129.00,79.95,2846468,2846469,10,26,Beige,Mujer
2816446,2816447,Jean Mujer Barrel XYZ AZUL 26,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-barrel-XYZ-2816446/p,https://oechsle.vteximg.com.br/arquivos/ids/20783243/2816447.jpg?v=638781400941400000,0,129.00,79.95,2816446,2816447,11,26,Azul,Mujer
